n,memory_kb,status
5,3600,OK
10,3696,OK
15,3696,OK
20,3532,OK
25,3824,OK
30,3672,OK
60,3928,OK
120,4336,OK
240,5524,OK
480,12288,OK
960,39092,OK
1920,133960,OK
3840,492340,OK
7680,1859844,MLE
