n,memory_kb,status
5,3524,OK
10,3652,OK
15,3668,OK
20,3552,OK
25,3672,OK
30,3668,OK
60,3668,OK
120,3924,OK
240,4328,OK
480,6672,OK
960,16548,OK
1920,55892,OK
3840,213188,OK
7680,841852,MLE
