n,time_ms,status
5,2.800,OK
10,3.545,OK
15,5.658,OK
20,3.771,OK
25,5.437,OK
30,5.239,OK
60,8.490,OK
120,34.431,OK
240,132.808,OK
480,862.332,OK
960,6752.041,TLE
